反照率 Albedo
G搜索光照空气阴影LOD1 GSearchLightAirShadowLod1
GSe中型墙柱顶部LOD3 GSeWallmedPillarTopLod3
DamageableCanopy DamageableCanopy
胡须82 Beard82
CbParticleAgeLife CbParticleAgeLife
GHabs通风墙010LOD2 GHabsVentilationWall010Lod2
AssaultRiflePatriot AssaultRiflePatriot
GAntitankEmplacementLod5 GAntitankEmplacementLod5
C导航悬挑3 CNavigationOverhang3
G身体袋堆阴影LOD1 GBodyBagPileShadowLod1
L后角翼片2 LBackCornerflap2
等离子手枪 PlasmaPistol
披风1 Cape1
32x24001切片04 32x24001Slice04
GJerrycan01Lod5 GJerrycan01Lod5
CHabs楼梯门短直线01 CHabsStairsDoorShortStraight01
G冲锋枪防御者 GSmgDefender
BugCaviarMedium01 BugCaviarMedium01
G荒原松树02碎肉23 GMoorPinetree02Gibs23
GCy栅栏3x阴影 GCyFence3xShadow
G碎片01LOD5 GDebris01Lod5
PaintSchemeForestCamo PaintSchemeForestCamo
GSeafShellNapalm GSeafShellNapalm
G无人机喷火器LOD3 GDroneFlamethrowerLod3
G箱052堆叠LOD3 GBox052stackLod3
G半机械人管线结束LOD4 GCyborgPipelineEndLod4
通道01 Channel01
ReloadVigilance ReloadVigilance
C首领03 CBoss03
投影支撑 DropSupport
G掩体门01阴影 GBunkerDoor01Shadow
抖动链中01 JiggleChainMid01
GStickyStunGrenadeLod3 GStickyStunGrenadeLod3
G机枪阴影LOD3 GMgShadowLod3
CCasing CCasing
GHabs通风墙06LOD4 GHabsVentilationWall06Lod4
R负重轮02旋转 RRoadwheel02Rotation
护盾受损 ShieldDamaged
装填手枪 ReloadPistol
后方L腿基础 RearLLegBase
G等离子LOD4 GPlasmaLod4
L头部0106关节 LHead0106Jnt
CCy箱01 CCyCrate01
G岩石大型06阴影LOD1 GRockLarge06ShadowLod1
R头部091关节 RHead091Jnt
JogLow JogLow
G箱体01LOD3 GCase01Lod3
G喷气步枪鼓弹匣阴影 GJetRifleDrumMagazineShadow
G钻头LOD2 GDrillLod2
阴影缩放切片1 ShadowScaleSlice1
HealBleeding HealBleeding
GIl炮塔01废墟碎石LOD4 GIlTurret01RubbleLod4
L前翼3剔除 LFrontWing3Cull
GSe大型墙墙顶部完整LOD2 GSeWallbigWallTopFullLod2
G岩石山05LOD4 GRockMountain05Lod4
L膝盖 LKnee
GCoolingServer01Lod2 GCoolingServer01Lod2
GHabs箱大型011x2 GHabsCrateLarge011x2
MFaf标准导弹 MFafStandardMissile
G岩石山01阴影 GRockMountain01Shadow
C天气叶片高35 CWeatherVaneTall35
C移动48 CMovement48
G弹匣LOD2 GMagLod2
MAssaultShotgunCasing MAssaultShotgunCasing
GSwordLod4 GSwordLod4
G柜台角落01阴影LOD1 GCounterCorner01ShadowLod1
G殖民地管道预制件03LOD2 GColonyPipesPrefab03Lod2
GCy火炮外壳空堆小型01LOD1 GCyArtilleryShellEmptyPileSmall01Lod1
BugMembraneDoor BugMembraneDoor
G岩石柱03LOD5 GRockPillar03Lod5
LieutenantFlag LieutenantFlag
G小型通用风车01LOD5 GSmallGenericWindmill01Lod5
G广告牌杆小型01LOD1 GBillboardPoleSmall01Lod1
ReloadAssaultRifleWhisperFast ReloadAssaultRifleWhisperFast
GFrv机枪阴影LOD2 GFrvMgShadowLod2
JiggleChaintT04 JiggleChaintT04
G骨骼生物08LOD1 GBoneCreature08Lod1
G战壕墙中型1m01阴影LOD1 GTrenchWallMedium1m01ShadowLod1
GIl遭遇舰船已着陆LOD1 GIlEncounterShipLandedLod1
GIl废墟碎石小型03LOD2 GIlRubbleSmall03Lod2
L炮塔偏航05 LTurretYaw05
GSe轰炸机已摧毁左翼LOD5 GSeBomberDestroyedLeftWingLod5
Habs墙天气结束02 HabsWallWeatherEnd02
GCy障碍栅栏01阴影LOD4 GCyBarrierFence01ShadowLod4
漫反射透明度低 DiffuseAlphaLow
装填等离子手枪 ReloadPlasmapistol
GHabs栏杆角落掩体阴影LOD1 GHabsRailingCornerCoverShadowLod1
Habs尸体手臂02 HabsCorpseArm02
窗中部11 WindowMiddle11
G通用碎片中型07LOD2 GGenericDebrisMedium07Lod2
C左手臂1 CLeftArm1
六边形19 Hex19
外壳上部 ShellUpper
PlayercardTexture PlayercardTexture
翼03 Wing03
B腿3剔除 BLeg3Cull
G沙质通用岩石小型04LOD4 GSandyGenericRockSmall04Lod4
GCyRemainsBackpackShadowLod1 GCyRemainsBackpackShadowLod1
L翼32 LWing32
G武器分配器 GWeaponDispenser
发射器锁 LauncherLock
GHabs天线屋顶01LOD4 GHabsAntennaRoof01Lod4
G废墟碎片直线2m01阴影LOD1 GRuinDebrisStraight2m01ShadowLod1
G通信塔01阴影 GCommunicationTower01Shadow
命中光照左 HitLightLeft
G能量左轮LOD1 GEnergyRevolverLod1
M自发光样本1 MEmissiveSample1
G标志生成器01阴影 GSignSpawner01Shadow
MRedEmissive MRedEmissive
G绝地机械样本01LOD3 GAutomatonSample01Lod3
GCy爆炸物电池01阴影 GCyExplosiveBattery01Shadow
GSe旗帜水平02LOD2 GSeFlagHorizontal02Lod2
ReloadGl ReloadGl
腿左已摧毁 LegLeftDestroyed
C研究样本01 CResearchSample01
附加偏移 AttachOffset
自发光AO范围 EmissiveAoRange
GPatiochairSmall01Lod5 GPatiochairSmall01Lod5
RForelegShoulder RForelegShoulder
G栏杆角落掩体LOD2 GRailingCornerCoverLod2
GChassiShadow GChassiShadow
L炮插座 LCannonSocket
GSignWarningDontSwimShadow GSignWarningDontSwimShadow
GripArmBotShellUpRgt GripArmBotShellUpRgt
LBackEngineRoll LBackEngineRoll
G计算机中心机器人等级1LOD1 GComputerHubRoboticsLvl1Lod1
G轮胎01碎片01 GTire01Debris01
GIncendiaryImpactGrenadeLod2 GIncendiaryImpactGrenadeLod2
GSe大型墙墙一半管道第三阴影 GSeWallbigWallHalfpipeThirdShadow
爪右碎肉 ClawRightGibs
G天线01阴影 GAntenna01Shadow
GBallisticShieldBackpackMk2Lod2 GBallisticShieldBackpackMk2Lod2
骨骼生物13 BoneCreature13
G荒原长苔枕头03LOD1 GMoorMossyPillow03Lod1
SwimmingAngle SwimmingAngle
Jp Jp
C补给容器01 CSupplyContainer01
G天气叶片旧01 GWeatherVaneOld01
GSe中型墙柱完整 GSeWallmedPillarFull
GIlSignpostShadowLod1 GIlSignpostShadowLod1
ChaHunter ChaHunter
G极地岩石通用废墟碎石01阴影 GArcticRockGenericRubble01Shadow
GCy箱011x2阴影LOD1 GCyCrate011x2ShadowLod1
Revive Revive
G罐装食物小型02LOD1 GCannedFoodSmall02Lod1
G荒原松树01碎肉16 GMoorPinetree01Gibs16
G飞机22 GPlane22
G激光脉冲炮 GLaserPulseCannon
箱体032x2 Case032x2
G碎片06LOD2 GDebris06Lod2
使用位移 UseDisplacement
BreachBot BreachBot
G沙质通用岩石小型01LOD2 GSandyGenericRockSmall01Lod2
G容器01阴影 GContainer01Shadow
G通用碎片组细节01 GGenericDebrisSetDetail01
G冰结构01 GIceStructure01
G门LOD1 GDoorLod1
GIl废墟碎石大型01LOD2 GIlRubbleLarge01Lod2
L脚趾爪内部 LToeClawInner
G殖民地栏杆1m无护板阴影LOD1 GColonyRailing1mNoplateShadowLod1
C殖民地标志01光照01 CColonySign01Light01
Thruster07Shroud Thruster07Shroud
Crash03 Crash03
脚趾04 Toe04
L头部027关节 LHead027Jnt
G自动售货机器自由01LOD1 GVendingMachineFreedom01Lod1
向量推进器左 VectorThrusterLeft
装填手枪快速 ReloadPistolFast
投影器07 Projector07
G通用缓存按钮 GGenericCacheButton
GMuzzle12gHalfChoke GMuzzle12gHalfChoke
ResetLocomotion ResetLocomotion
GIl能量电池LOD5 GIlEnergyBatteryLod5
G搜索光照地面碎片1 GSearchLightGroundDebris1
G荒原松树03碎肉18 GMoorPinetree03Gibs18
Flyby Flyby
G废墟废料堆地面4m01LOD2 GRuinScrapHeapFloor4m01Lod2
GCy爆炸物电池3x2阴影LOD1 GCyExplosiveBattery3x2ShadowLod1
GSeafShellHighYieldShadow GSeafShellHighYieldShadow
G岩石中型01阴影LOD1 GRockMedium01ShadowLod1
光照6 Light6
Elevation02 Elevation02
样本袋 SamplePouch
门右完整 DoorRightWhole
G骨骼生物09LOD3 GBoneCreature09Lod3
G天气叶片短01阴影LOD1 GWeatherVaneShort01ShadowLod1
光照2方向 Light2Direction
G战壕墙3m01阴影LOD2 GTrenchWall3m01ShadowLod2
MeleeKnifeStabProne MeleeKnifeStabProne
投影器03 Projector03
G容器07LOD1 GContainer07Lod1
ActionSlamExecute ActionSlamExecute
G荒原松树02碎肉18 GMoorPinetree02Gibs18
L前引擎翼片R5 LFrontEngineFlapR5
MFaf导弹标准 MFafMissileStandard
PlatformKitSquareThin16m PlatformKitSquareThin16m
G沼泽英雄树闹鬼小型 GSwampHeroTreeHauntedSmall
M混凝土 MConcrete
G日志大型03阴影LOD2 GLogLarge03ShadowLod2
GColonyCheckpointKiosk01 GColonyCheckpointKiosk01
G突击步枪纳乔弹匣标准LOD1 GAssaultRifleNachoMagStandardLod1
GBoosterPack GBoosterPack
G战斗步行机炮塔阴影LOD3 GCombatWalkerTurretShadowLod3
CharacterData CharacterData
L爪3剔除 LClaw3Cull
G小型通用风车01支架LOD4 GSmallGenericWindmill01StandLod4
MHabsParkbench01 MHabsParkbench01
G标志手雷虫族 GSignGrenadeBug
DrillingCharge DrillingCharge
G岩石巨大07阴影LOD2 GRockHuge07ShadowLod2
Cy障碍栅栏小型01 CyBarrierFenceSmall01
G岩石废墟碎石03阴影LOD2 GRockRubble03ShadowLod2
RChestBackElbow RChestBackElbow
箱机库01 BoxHangar01
StomachZone StomachZone
R头部015关节 RHead015Jnt
DeathPoweredDone DeathPoweredDone
枪套Faf HolsterFaf
G箱变化01阴影LOD1 GBoxVariation01ShadowLod1
G森林山01阴影LOD2 GForestMountain01ShadowLod2
G幂基地群体01碎片05 GPowerStationHorde01Debris05
G血肉阴影 GGoreShadow
腿左前 LegLeftFront
G沙质方形岩石巨型02 GSandySquareRockMassive02
脊柱4 Spine4
平台套件方形 PlatformKitSquare
ReviveReciever ReviveReciever
CyArtilleryShellLoaded01 CyArtilleryShellLoaded01
斜率 Slope
GScabbardLod4 GScabbardLod4
GReinforcedBridge01 GReinforcedBridge01
GSe碉堡柱 GSePillboxPillar
布娃娃大腿R RagdollThighR
C碰撞72 CCollision72
R负重轮07旋转 RRoadwheel07Rotation
C子弹31 CBullet31
GDirectionalEnergyShieldBackpackShadowLod1 GDirectionalEnergyShieldBackpackShadowLod1
G冰废墟碎石01LOD1 GIceRubble01Lod1
G树巢集群02阴影LOD2 GTreeNestCluster02ShadowLod2
ChestAim ChestAim
G岩石岩屑02LOD3 GRockyTalus02Lod3
G脚手架走道01LOD5 GScaffoldingWalkway01Lod5
G殖民地半机械人生成器碎片4 GColonyCyborgSpawnerDebris4
附加特效L引擎 AttachFxLEngine
外壳05缩放 Shell05Scale
G岩石大型06阴影LOD2 GRockLarge06ShadowLod2
StomachDamaged StomachDamaged
噪声02通道 Noise02Channels
CElevation02 CElevation02
G冲锋枪喷火器标准弹匣阴影 GSmgFlamerStandardMagazineShadow
GCy起重机01基础LOD1 GCyCrane01BaseLod1
GSePlaygroundMonkeybar01Shadow GSePlaygroundMonkeybar01Shadow
M树巢01 MTreeNest01
GThrowingKnifeLod2 GThrowingKnifeLod2
C前腿3R CFrontLeg3R
G废墟碎石切片01LOD3 GRubbleSlice01Lod3
SpacebattleShips02Rigs SpacebattleShips02Rigs
摄像机附加 CameraAttach
C头部0143关节 CHead0143Jnt
GCy工厂烟囱阴影LOD2 GCyFactoryChimneyShadowLod2
GSe殖民地废墟碎石中型01阴影LOD2 GSeColonyRubbleMedium01ShadowLod2
GIl容器04LOD4 GIlContainer04Lod4
BossGenLs02 BossGenLs02
CLMirror CLMirror
M爪 MClaw
G半机械人炮艇生成器LOD4 GCyborgGunshipSpawnerLod4
G腿R套件LOD2 GLegRKitLod2
R后腿髋部瞄准结束 RBackLegHipAimEnd
GBlueCorpWeatherVane01Lod3 GBlueCorpWeatherVane01Lod3
G自动售货机器自由01LOD3 GVendingMachineFreedom01Lod3
G沙质方形岩石中型01LOD3 GSandySquareRockMedium01Lod3
C废墟碎石021 CRubble021
GIl墙圆形6r阴影 GIlWallCircle6rShadow
光照位置 LightPos
GSe轰炸机已摧毁炮塔木桶 GSeBomberDestroyedTurretBarrels
L前手臂1 LFrontArm1
G尸体旧躺卧03LOD5 GCorpsesOldLying03Lod5
WeldStandingLoop WeldStandingLoop
Thump Thump
G控制塔01阴影LOD2 GControlTower01ShadowLod2
G真理发射器塔扬声器LOD2 GTruthTransmitterTowerSpeakersLod2
Bonnet Bonnet
G岩石柱02阴影LOD2 GRockyPillar02ShadowLod2
G砍刀阴影LOD3 GMacheteShadowLod3
G兴奋剂手枪LOD5 GStimPistolLod5
GBeltFedGrenadeLauncherShadowLod1 GBeltFedGrenadeLauncherShadowLod1
G枪口12g标准阴影 GMuzzle12gStandardShadow
GCyborgCoolingPipeSmallTsplit01Shadow GCyborgCoolingPipeSmallTsplit01Shadow
动作装填 ActionReload
G天线01碎片01 GAntenna01Debris01
G虫族岩石中型02阴影LOD2 GBugRockMedium02ShadowLod2
牙齿08 Tooth08
G混凝土障碍02LOD3 GConcreteBarrier02Lod3
G沙袋02阴影LOD2 GSandbag02ShadowLod2
PlatformKitSquareThin16mShadow PlatformKitSquareThin16mShadow
Frv出口后右快速 FrvExitBackRightFast
GCyNetworkTowerDishDebris GCyNetworkTowerDishDebris
G极地岩石通用大型02LOD3 GArcticRockGenericLarge02Lod3
G箱防水布01阴影LOD2 GCrateTarp01ShadowLod2
SelfDestructDrone SelfDestructDrone
FireLaserpistolStop FireLaserpistolStop
BellyEntrails12 BellyEntrails12
触手左3 TentacleLeft3
GRockCliffFace02 GRockCliffFace02
G机场袋01阴影LOD2 GAirportBag01ShadowLod2
C前腿3L CFrontLeg3L
Frv进入后左 FrvEnterBackLeft
ExecuteAction ExecuteAction
MagsRRail MagsRRail
G基础LOD3 GBaseLod3
G管线直线LOD4 GPipelineStraightLod4
G日志大型03 GLogLarge03
通风口后条 VentBackBar
GGorePileSparse01Lod2 GGorePileSparse01Lod2
G岩石巨大07LOD4 GRockHuge07Lod4
墙支撑A WallSupportA
C杆 CPole
G箱01阴影 GBox01Shadow
GSe大型墙墙直线第三LOD2 GSeWallbigWallStraightThirdLod2
突击步枪纳乔 AssaultRifleNacho
R翼5 RWing5
G沼泽英雄树闹鬼小型LOD3 GSwampHeroTreeHauntedSmallLod3
AssaultRifleHelghastRig AssaultRifleHelghastRig
G搜索光照空气大型碎片 GSearchLightAirLargeDebris
MGold MGold
G特大管道连接阴影 GXlPipeConnectionShadow
Heathaze Heathaze
GHabs尸体身体01阴影LOD2 GHabsCorpseBody01ShadowLod2
Cha平民 ChaCivilian
C巢穴领主头部06 CHiveLordHead06
腿右前 LegRightFront
G征召兵头部01LOD5 GConscriptHead01Lod5
G树巢集群01LOD5 GTreeNestCluster01Lod5
GHabs尸体腿01阴影LOD2 GHabsCorpseLeg01ShadowLod2
GSe大型墙墙顶部完整 GSeWallbigWallTopFull
GBugCaviarMedium01 GBugCaviarMedium01
GChassi GChassi
GIl废墟柱LOD3 GIlRuinPillarLod3
L脚活塞1 LFootPiston1
G搜索光照空气大型阴影LOD2 GSearchLightAirLargeShadowLod2
噪声01最小最大 Noise01MinMax
脊柱2 Spine2
GCy容器01碎片10 GCyContainer01Debris10
柜台门01 CounterDoor01
SymmetricPickup SymmetricPickup
Phong5 Phong5
GSeSignWarningElectricity01Debris02 GSeSignWarningElectricity01Debris02
G腿部髋部套件1女性LOD2 GLegsHipsKit1FemaleLod2
G迫击炮炮塔LOD5 GMortarTurretLod5
GCy炮塔基础阴影 GCyTurretBaseShadow
G轮胎01碎片03 GTire01Debris03
G殖民地建筑大型01B阴影LOD1 GColonyBuildingLarge01BShadowLod1
掩体1 Cover1
RHandTwist RHandTwist
M弹匣 MMag
GHabs栏杆1mLOD2 GHabsRailing1mLod2
G阴影切片04LOD1 GShadowSlice04Lod1
MObstacleCourse MObstacleCourse
G箱大型空01碎片04 GCrateBigEmpty01Debris04
栏杆1m掩体 Railing1mCover
远端散射控制 FarScatterControl
G门阴影LOD2 GDoorShadowLod2
岩石山墙01 RockMountainWall01
GIncendiaryImpactGrenadeLod1 GIncendiaryImpactGrenadeLod1
GHarpoonGunLod2 GHarpoonGunLod2
G逃逸舱热护盾阴影LOD2 GEscapePodHeatshieldShadowLod2
GCrystalizedE710Sample01 GCrystalizedE710Sample01
髋部R HipR
R负重轮10位移 RRoadwheel10Translation
ActionSpit ActionSpit
CyAmmunitionStockpile01 CyAmmunitionStockpile01
GIl废墟方块屋顶LOD1 GIlRuinBlockRoofLod1
ToggleBreach ToggleBreach
C步行机L前 CWalkerLFront
计算机平板 ComputerTablet
L下颌下颌上部 LJawMandibleUpper
附加01 Attach01
MChampion MChampion
G沙袋堆01LOD2 GSandbagPile01Lod2
G受损阴影LOD3 GDamagedShadowLod3
G森林岩石中型01LOD1 GForestRockMedium01Lod1
L头部0165关节 LHead0165Jnt
G虫族尸体充电器01阴影LOD2 GBugCorpseCharger01ShadowLod2
G殖民地屋顶道具02 GColonyRoofProp02
G半机械人有机组件地点管道01阴影LOD1 GCyborgOrganicAssemblySitePipe01ShadowLod1
GSe轰炸机已摧毁炮塔身体01LOD2 GSeBomberDestroyedTurretBody01Lod2
G征召兵血肉堆01阴影LOD1 GConscriptGorePile01ShadowLod1
LeverActionRifle01 LeverActionRifle01
G垃圾桶盖01LOD1 GTrashbinLid01Lod1
栏杆2m Railing2m
M虫族尸体血肉堆01 MBugCorpseGorePile01
小型通用风车01 SmallGenericWindmill01
材质8迷彩乘数 Material8CamoMultiplier
G弹药箱03LOD1 GAmmoBox03Lod1
背包炮 BackpackCannon
GSignWarningDontSwimLod2 GSignWarningDontSwimLod2
G小型通用风车01阴影LOD1 GSmallGenericWindmill01ShadowLod1
G废墟碎石01LOD2 GRubble01Lod2
G通用碎片小型013LOD2 GGenericDebrisSmall013Lod2
Il柱完整大型 IlPillarWholeLarge
近战完成 MeleeDone
ChaPathfinder ChaPathfinder
GPumpShotgunDragonLod3 GPumpShotgunDragonLod3
废墟碎石碰撞Rc10 RubbleCollisionRc10
光学中幂瞄准镜 OpticsMidpowerScope
AiBlocker01 AiBlocker01
G冰结构03LOD2 GIceStructure03Lod2
L后方腿1 LRearLeg1
G日志大型02LOD3 GLogLarge02Lod3
GCy网络塔 GCyNetworkTower
ActionMinorTaunt ActionMinorTaunt
M弹药 MAmmo
附加前底部 AttachFrontBottom
G岩石坡道01LOD2 GRockRamp01Lod2
TaskPrayingLoop TaskPrayingLoop
C生成器13 CGenerator13
G地狱潜兵腿部01阴影LOD1 GHelldiverLegs01ShadowLod1
SeCityInfoStandMed01a SeCityInfoStandMed01a
ShuttleGunshipStatic ShuttleGunshipStatic
G枪管01LOD1 GBarrel01Lod1
GBeltFedGrenadeLauncherBackpackLod3 GBeltFedGrenadeLauncherBackpackLod3
GHabs楼梯屋顶出口01阴影 GHabsStairsRoofExit01Shadow
C前右头部光照 CFrontRightHeadlight
下颌上部 JawUpper
GuardingLocomotion GuardingLocomotion
Seg1中心完整 Seg1CenterWhole
GPipelineCurveFloatingLod5 GPipelineCurveFloatingLod5
LBipod LBipod
HighPoly HighPoly
GHabs容器大型02LOD5 GHabsContainerLarge02Lod5
G生成器灯头部01LOD5 GGeneratorLampHead01Lod5
GHabs栏杆1m掩体 GHabsRailing1mCover
亮度控制开关 LuminControlOnOff
热辉光噪声幂最小 HeatGlowNoisePowMin
GHabs楼梯屋顶出口栏杆01LOD3 GHabsStairsRoofExitRailing01Lod3
G轨道01LOD1 GRails01Lod1
G森林树01碎肉05 GForestTree01Gibs05
GCy箱011x2碎片01 GCyCrate011x2Debris01
载具出口完成 VehicleExitDone
G殖民地管道预制件05 GColonyPipesPrefab05
GCy箱01阴影LOD1 GCyCrate01ShadowLod1
G极地岩石通用大型04LOD5 GArcticRockGenericLarge04Lod5
G殖民地电视02LOD2 GColonyTv02Lod2
G真理发射器塔屏幕01LOD2 GTruthTransmitterTowerScreen01Lod2
窗右21 WindowRight21
G弹药箱盖01碎片01 GAmmocrateLid01Debris01
GTripleBarrelBreakshotgunLod1 GTripleBarrelBreakshotgunLod1
损伤基础AO影响 DamageBaseAoInfluence
SlidingBackwards SlidingBackwards
G战壕墙3m01LOD2 GTrenchWall3m01Lod2
GIlEncounterShipInvasionLod5 GIlEncounterShipInvasionLod5
GunnerExit GunnerExit
M无人机激光步枪 MDroneLaserRifle
G岩石柱01LOD1 GRockPillar01Lod1
GSprintRoomTerminal01ShadowLod2 GSprintRoomTerminal01ShadowLod2
ColonyElectricStreetBox01 ColonyElectricStreetBox01
材质6迷彩乘数 Material6CamoMultiplier
G箱03LOD3 GBox03Lod3
GLieutentantCorpse01Lod4 GLieutentantCorpse01Lod4
G废墟掩体直线1m01阴影LOD2 GRuinCoverStraight1m01ShadowLod2
GColonyCheckpointBarrier01Lod2 GColonyCheckpointBarrier01Lod2
L头部055关节 LHead055Jnt
G舱LOD1 GPodLod1
GBoxGizmo GBoxGizmo
G孢子光照02LOD4 GSporeLight02Lod4
CHabs箱中型01 CHabsCrateMedium01
StoreScreenLarge StoreScreenLarge
C移动13 CMovement13
GBarbwireSpool01ShadowLod2 GBarbwireSpool01ShadowLod2
M岩石小型01 MRockSmall01
ClimbFall ClimbFall
G虫族网07LOD2 GBugWeb07Lod2
GGorePileSparse01Shadow GGorePileSparse01Shadow
G根部膝盖01阴影LOD2 GRootknee01ShadowLod2
G冰柱石笋03LOD2 GIcicleStalagmites03Lod2
GSePlaygroundCarousellLod3 GSePlaygroundCarousellLod3
正弦频率01 SineFreq01
G腿部髋部套件女性 GLegsHipsKitFemale
MElectricalGrid MElectricalGrid
G岩石山04阴影 GRockMountain04Shadow
G荒原松树02碎肉31 GMoorPinetree02Gibs31
G箱01阴影LOD2 GBox01ShadowLod2
GCyborgCommandBunkerShadow GCyborgCommandBunkerShadow
GHabs尸体头部01LOD2 GHabsCorpseHead01Lod2
GSe旗帜水平03 GSeFlagHorizontal03
PaintSchemeArctic PaintSchemeArctic
燃烧最大 BurnMax
R下部环手指3 RLowerRingFinger3
G通用碎片巨大01阴影 GGenericDebrisHuge01Shadow
G额外屏幕06 GExtraScreen06
废墟碎石碰撞Rc07 RubbleCollisionRc07
G罐装食物中型01碎片 GCannedFoodMedium01Debris
GCy电池空01阴影 GCyBatteryEmpty01Shadow
GCy容器小型01碎片04 GCyContainerSmall01Debris04
GIl坡道阴影LOD1 GIlRampShadowLod1
M岩石柱02 MRockPillar02
CFusebox01 CFusebox01
CRTopStrut02 CRTopStrut02
特效通风口1 FxVent1
G城市车辆06LOD4 GCityCar06Lod4
半机械人炮塔Aa基础 CyborgTurretAaBase
G横幅021 GBanner021
GCentralCoreHolePlug01Lod3 GCentralCoreHolePlug01Lod3
弹药检查手雷发射器 AmmocheckGrenadelauncher
G大型箱011x2阴影 GLargeCrate011x2Shadow
目标殖民地中继 ObjectiveColonyRelay
G闸门02 GGate02
LFrontCornerflapHydralik LFrontCornerflapHydralik
GIl废墟碎石中型01LOD2 GIlRubbleMedium01Lod2
BladeCg BladeCg
磨损乘数 WearMultiply
GPosterMinistryTruth01 GPosterMinistryTruth01
G虫族岩石中型03阴影 GBugRockMedium03Shadow
TopMainfoundation TopMainfoundation
GPipesSinglepipe01ShadowLod2 GPipesSinglepipe01ShadowLod2
GHabs通风屋顶05阴影 GHabsVentilationRoof05Shadow
MEyelashes1 MEyelashes1
锤L HammerL
世界位置选择长度 WorldPositionSelectionLength
GSeafShellStaticFieldShadowLod1 GSeafShellStaticFieldShadowLod1
C船体后 CHullBack
半机械人投放舰已着陆 CyborgDropshipLanded
GSe枪管2xLOD2 GSeBarrel2xLod2
G鹰式导弹阴影LOD3 GEagleMissileShadowLod3
GThrowingKnifeLod1 GThrowingKnifeLod1
GIl独石LOD1 GIlMonolithLod1
油软管连接 OilHoseConnection
VolumetricCloudsDepthPrevCurrentFrame VolumetricCloudsDepthPrevCurrentFrame
GBugEggSuperSample01Lod3 GBugEggSuperSample01Lod3
AdminEnter AdminEnter
Fern Fern
GuardDogStun GuardDogStun
AF活塞01 AFPiston01
L负重轮08位移 LRoadwheel08Translation
G岩石岩石小型01LOD2 GRockyRockSmall01Lod2
特效推进器05 FxThruster05
轨道RB位置 TrackRBPosition
舱门支撑02 HatchSupport02
G沙质圆形岩石巨型02LOD3 GSandyRoundRockMassive02Lod3
GIl电缆008LOD2 GIlCables008Lod2
C黑藏红花样本基础01 CBlacksaffronSampleBase01
GSe轨道炮 GSeOrbitalCannon
G荒原松树03碎肉8 GMoorPinetree03Gibs8
导弹身体 MissileBody
GHabsGarageDoor01Lod2 GHabsGarageDoor01Lod2
R钳制62 RClamp62
ColorGradingEnabled ColorGradingEnabled
岩石废墟碎石03 RockRubble03
GripArmTopShellUpLft GripArmTopShellUpLft
RB工厂活塞 RBFactoryPiston
M真理发射器塔扬声器 MTruthTransmitterTowerSpeakers
G横幅02LOD1 GBanner02Lod1
G殖民地电视01阴影 GColonyTv01Shadow
G管线直线 GPipelineStraight
M鲸骨骼01 MWhaleBone01
L着陆装备 LLandingGear
战斗步行机自动炮右 CombatWalkerAutocannonRight
C后顶部面板2 CBackTopPanel2
士兵尸体01 SoldierCorpse01
布娃娃首领 RagdollBoss
MTorus MTorus
